,class,label,numeric_uri,label_uri
0,http://semanticscience.org/resource/SIO_001025,prognosis,sio:SIO_001025,sio:Prognosis
1,http://semanticscience.org/resource/SIO_000999,procedure,sio:SIO_000999,sio:Procedure
2,http://semanticscience.org/resource/SIO_000165,thesis document,sio:SIO_000165,sio:ThesisDocument
3,http://semanticscience.org/resource/SIO_011105,protactinium atom,sio:SIO_011105,sio:ProtactiniumAtom
4,http://semanticscience.org/resource/SIO_001349,gene-disease association linked with chromosomal rearrangement,sio:SIO_001349,sio:Gene-diseaseAssociationLinkedWithChromosomalRearrangement
5,http://semanticscience.org/resource/SIO_000783,spatial boundary,sio:SIO_000783,sio:SpatialBoundary
6,http://semanticscience.org/resource/SIO_000170,diary,sio:SIO_000170,sio:Diary
7,http://semanticscience.org/resource/SIO_000017,function,sio:SIO_000017,sio:Function
8,http://semanticscience.org/resource/SIO_001071,text span start position,sio:SIO_001071,sio:TextSpanStartPosition
9,http://semanticscience.org/resource/SIO_010432,ligand,sio:SIO_010432,sio:Ligand
10,http://semanticscience.org/resource/SIO_000519,bar,sio:SIO_000519,sio:Bar
11,http://semanticscience.org/resource/SIO_000921,dependent variable,sio:SIO_000921,sio:DependentVariable
12,http://semanticscience.org/resource/SIO_010309,catabolism,sio:SIO_010309,sio:Catabolism
13,http://semanticscience.org/resource/SIO_001054,measuring,sio:SIO_001054,sio:Measuring
14,http://semanticscience.org/resource/SIO_001294,very poor quality,sio:SIO_001294,sio:VeryPoorQuality
15,http://semanticscience.org/resource/SIO_011078,bohrium atom,sio:SIO_011078,sio:BohriumAtom
16,http://semanticscience.org/resource/SIO_001144,maintenance of frequency of process,sio:SIO_001144,sio:MaintenanceOfFrequencyOfProcess
17,http://semanticscience.org/resource/SIO_001191,SOAP web service,sio:SIO_001191,sio:SOAPWebService
18,http://semanticscience.org/resource/SIO_001295,poor quality,sio:SIO_001295,sio:PoorQuality
19,http://semanticscience.org/resource/SIO_010283,chemical transport,sio:SIO_010283,sio:ChemicalTransport
20,http://semanticscience.org/resource/SIO_011070,astatine atom,sio:SIO_011070,sio:AstatineAtom
21,http://semanticscience.org/resource/SIO_010379,virus,sio:SIO_010379,sio:Virus
22,http://semanticscience.org/resource/SIO_001125,regulation of transcription,sio:SIO_001125,sio:RegulationOfTranscription
23,http://semanticscience.org/resource/SIO_000104,language,sio:SIO_000104,sio:Language
24,http://semanticscience.org/resource/SIO_011044,rhodium atom,sio:SIO_011044,sio:RhodiumAtom
25,http://semanticscience.org/resource/SIO_000907,heatmap,sio:SIO_000907,sio:Heatmap
26,http://semanticscience.org/resource/SIO_000593,interacting,sio:SIO_000593,sio:Interacting
27,http://semanticscience.org/resource/SIO_001009,toxic,sio:SIO_001009,sio:Toxic
28,http://semanticscience.org/resource/SIO_000038,1D extent quantity,sio:SIO_000038,sio:1DExtentQuantity
29,http://semanticscience.org/resource/SIO_010517,isomerization reaction,sio:SIO_010517,sio:IsomerizationReaction
30,http://semanticscience.org/resource/SIO_001103,to gain a covalent bond,sio:SIO_001103,sio:ToGainACovalentBond
31,http://semanticscience.org/resource/SIO_010374,to be conformationally changed,sio:SIO_010374,sio:ToBeConformationallyChanged
32,http://semanticscience.org/resource/SIO_011048,indium atom,sio:SIO_011048,sio:IndiumAtom
33,http://semanticscience.org/resource/SIO_000130,pattern,sio:SIO_000130,sio:Pattern
34,http://semanticscience.org/resource/SIO_001284,satisfaction,sio:SIO_001284,sio:Satisfaction
35,http://semanticscience.org/resource/SIO_010369,to be electronically modified,sio:SIO_010369,sio:ToBeElectronicallyModified
36,http://semanticscience.org/resource/SIO_000727,secretary role,sio:SIO_000727,sio:SecretaryRole
37,http://semanticscience.org/resource/SIO_000005,quality,sio:SIO_000005,sio:Quality
